Type,Qwen/Qwen3-VL-8B-Instruct,mistralai/Pixtral-Large-Instruct-2411,google/gemma-3-12b-it,Qwen/Qwen3-VL-32B-Instruct,google/gemma-3-27b-it,Qwen/Qwen2.5-VL-72B-Instruct-AWQ,mistralai/Pixtral-12B-2409
Part C,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Part I,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,1.0
Part R,1.0,1.0,1.0,1.0,0.5,1.0,1.0
Part S,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Performance de l'indice de référence Année 2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Performance des parts du Fonds Année 4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Performance moyenne en % (Rendement annuel moyen, 5 ans)",1.0,1.0,1.0,1.0,0.0,1.0,1.0
Plateforme d’analyse financière,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Produits dérivés,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Période de détention recommandée,0.8333333333333334,1.0,0.8333333333333334,0.6666666666666666,1.0,0.6666666666666666,0.8333333333333334
Restrictions Légales sur les Investissements par la SEC,1.0,0.0,1.0,1.0,1.0,0.0,1.0
Restrictions légales sur les investissements par la SEC,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Risque ESG,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Risque de change,1.0,1.0,0.8,0.8,1.0,1.0,1.0
Risque de concentration des investissements,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Risque de crédit,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Risque de liquidité,0.75,0.75,0.75,1.0,0.75,0.75,0.75
Risque de marché,1.0,0.0,1.0,1.0,1.0,0.0,0.0
Risque de perte en capital,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Risque de taux,1.0,0.0,1.0,1.0,1.0,0.0,0.0
Risque lié au recours à l’endettement,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Risque lié aux devises,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Risque principal,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Risque sur ses actifs,1.0,0.0,1.0,1.0,1.0,0.0,1.0
Règles fiscales applicables au fonds,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SFDR Article,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Scénario défavorable sur 1 an en euros,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Scénario favorable sur 5 ans en euros,0.0,1.0,1.0,0.0,1.0,0.0,0.0
Scénario modéré sur 5 ans en euros,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Site web,0.75,0.75,1.0,0.75,0.75,1.0,1.0
Société cotée qui opère en tant qu'opérateur de marché boursier en Europe,1.0,1.0,1.0,0.0,1.0,1.0,1.0
Société de Gestion,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Société de gestion,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.8888888888888888,1.0,1.0,0.8888888888888888
Société de gestion (Management company),0.75,0.75,0.75,0.75,0.75,0.75,0.75
Souscription initiale minimale Part I,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Standard & Poor’s,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Statut réglementaire,0.5454545454545454,0.5454545454545454,0.2727272727272727,0.45454545454545453,0.36363636363636365,0.45454545454545453,0.45454545454545453
Structure du fonds,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Style de gestion,1.0,1.0,0.9,1.0,1.0,1.0,0.9
Techniques de couverture du risque de change,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Traitement des ordres de souscription et de rachat,0.0,1.0,0.0,0.0,1.0,1.0,1.0
Type d’investisseur part F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Types d'actifs,1.0,1.0,1.0,0.0,1.0,1.0,1.0
Téléphone,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Valeur liquidative d’origine - Part C,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Valeur liquidative d’origine - Part I,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Valeur liquidative d’origine - Part S,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Zone géographique d’investissement,1.0,1.0,1.0,1.0,1.0,1.0,1.0
instruments dérivés,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intruments dérivés,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"numéro de téléphone du Responsable des réclamations, Oliver Hermesdorf",1.0,1.0,1.0,1.0,1.0,1.0,1.0
produits dérivés,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Échéance du fonds,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Average,0.8942115768463074,0.8782435129740519,0.8802395209580839,0.8982035928143712,0.8902195608782435,0.8902195608782435,0.8842315369261478
